id,codigo,nome,tipo,ativo,ID_CORBAN,DIVISAO,createdAt,updatedAt
1,l1,PLAY MONEY,INFLUENCER,true,859,,2026-01-05T17:43:31.000Z,2026-01-22T15:17:37.865Z
2,l2,LIVIA BOCATO,INFLUENCER,true,857,,2026-01-05T17:43:31.048Z,2026-01-22T15:17:50.070Z
3,m2,MONETIZANDO,INFLUENCER,true,854,,2026-01-05T17:43:31.075Z,2026-01-22T15:18:01.499Z
4,g1,GILMAR LOSSA,INFLUENCER,true,858,,2026-01-05T17:43:31.107Z,2026-01-22T15:18:09.131Z
5,j2,JUNIOR VIEIRA,INFLUENCER,true,877,,2026-01-05T17:43:31.144Z,2026-01-22T15:18:17.360Z
6,l3,LILIANA,INFLUENCER,true,875,,2026-01-05T17:43:31.170Z,2026-01-22T15:18:25.041Z
7,j1,JEFERSON VALLIM,INFLUENCER,true,855,,2026-01-05T17:43:31.202Z,2026-01-22T15:18:32.489Z
8,c1,CELSO YUTAKA,INFLUENCER,true,871,,2026-01-05T17:43:31.248Z,2026-01-22T15:18:45.325Z
9,w1,WESLEY PEREIRA,INFLUENCER,true,892,,2026-01-05T17:43:31.275Z,2026-01-22T15:19:09.646Z
10,m3,MAICON RISSI,INFLUENCER,true,888,,2026-01-05T17:43:31.301Z,2026-01-22T15:19:18.018Z
11,r1,RENATO MEDEIROS,INFLUENCER,true,883,,2026-01-05T17:43:31.328Z,2026-01-22T15:19:24.438Z
12,m4,MATEUS FREITAS,INFLUENCER,true,860,,2026-01-05T17:43:31.361Z,2026-01-22T15:20:23.321Z
13,a1,AH ON,INFLUENCER,true,2344,,2026-01-05T17:43:31.401Z,2026-01-22T15:20:42.605Z
14,k1,KÉSIA PRATES,INFLUENCER,true,6964,,2026-01-05T17:43:31.437Z,2026-01-22T15:21:16.473Z
15,d4,DÉBORA FLORENZANO,INFLUENCER,true,1195,,2026-01-05T17:43:31.465Z,2026-01-22T15:21:31.824Z
16,b1,THIAGO BARBOZA,INFLUENCER,true,1100,,2026-01-05T17:43:31.490Z,2026-01-22T15:21:43.203Z
17,e3,EDUARDO FELDBERG,INFLUENCER,true,5333,,2026-01-05T17:43:31.514Z,2026-01-22T15:21:51.603Z
18,i6,IRMÃOS PIOLOGO,INFLUENCER,true,865,,2026-01-05T17:43:31.537Z,2026-01-22T15:21:58.284Z
19,a3,ANA BOCHI,INFLUENCER,true,885,,2026-01-05T17:43:31.565Z,2026-01-22T15:22:04.554Z
20,t3,TUBARÃO DA BOLSA,INFLUENCER,true,884,,2026-01-05T17:43:31.587Z,2026-01-22T15:22:10.030Z
21,b3,BRUNO BRANDÃO,INFLUENCER,true,1661,,2026-01-05T17:43:31.608Z,2026-01-22T15:22:22.190Z
22,r2,RODRIGO GALATI,INFLUENCER,true,1055,,2026-01-05T17:43:31.632Z,2026-01-22T15:22:34.492Z
23,r3,RAFAEL RIBEIRO,INFLUENCER,true,864,,2026-01-05T17:43:31.655Z,2026-01-22T15:22:41.609Z
24,d1,DOUGLAS DE CAMARGOS,INFLUENCER,true,863,,2026-01-05T17:43:31.682Z,2026-01-22T15:22:46.987Z
25,w2,WEBLAET,INFLUENCER,true,861,,2026-01-05T17:43:31.721Z,2026-01-22T15:22:59.513Z
26,d2,DÉBORA REIS,INFLUENCER,true,876,,2026-01-05T17:43:31.757Z,2026-01-22T15:23:09.480Z
27,i1,IVÃ ARAUJO,INFLUENCER,true,867,,2026-01-05T17:43:31.790Z,2026-01-22T15:23:37.505Z
28,w3,WESLEY MARTINS,INFLUENCER,true,862,,2026-01-05T17:43:31.818Z,2026-01-22T15:23:44.319Z
29,j3,JOSUÉ ARAGÃO,INFLUENCER,true,866,,2026-01-05T17:43:31.850Z,2026-01-22T15:23:57.681Z
30,l4,LUCRO FC,INFLUENCER,true,1272,,2026-01-05T17:43:31.884Z,2026-01-22T15:24:04.852Z
31,e1,ELISA MIRANDA,INFLUENCER,true,4591,,2026-01-05T17:43:31.918Z,2026-01-22T15:24:11.348Z
32,r5,RICOS DE NEGOCIOS,INFLUENCER,true,5318,,2026-01-05T17:43:31.957Z,2026-01-22T15:24:17.344Z
33,e2,DR. EQUILIBRIO,INFLUENCER,true,5638,,2026-01-05T17:43:31.999Z,2026-01-22T15:24:58.756Z
34,f1,FINANCEIRO REAL,INFLUENCER,true,5774,,2026-01-05T17:43:32.052Z,2026-01-22T15:25:10.333Z
35,g2,GUSTAVO DE CASTRO,INFLUENCER,true,5977,,2026-01-05T17:43:32.077Z,2026-01-22T15:26:00.994Z
36,t2,TIRRA,INFLUENCER,true,893,,2026-01-05T17:43:32.109Z,2026-01-22T15:26:07.760Z
37,n1,NERDS,CANAL,true,853,,2026-01-05T17:43:32.164Z,2026-01-22T15:26:18.444Z
38,n2,EI NERD,CANAL,true,,,2026-01-05T17:43:32.188Z,2026-01-22T15:27:05.620Z
39,d3,DANI MENGUE,INFLUENCER,true,3591,,2026-01-05T17:43:32.212Z,2026-01-22T15:27:05.602Z
40,b2,BRUNO OM,INFLUENCER,true,4589,,2026-01-05T17:43:32.234Z,2026-01-22T15:27:13.180Z
41,i2,INGRED BAHIA,INFLUENCER,true,4794,,2026-01-05T17:43:32.253Z,2026-01-22T15:27:28.486Z
42,l5,LUCAS MATHEUS,INFLUENCER,true,5136,,2026-01-05T17:43:32.272Z,2026-01-22T15:27:35.414Z
43,i7,ISAAC MOREIRA,INFLUENCER,true,5554,,2026-01-05T17:43:32.293Z,2026-01-22T15:27:41.953Z
44,i3,INVESTIR É FACIL,INFLUENCER,true,5673,,2026-01-05T17:43:32.314Z,2026-01-22T15:27:53.056Z
45,l6,LARISSA LOPES,INFLUENCER,true,5680,,2026-01-05T17:43:32.340Z,2026-01-22T15:27:58.919Z
46,a2,ALICE SANTOS,INFLUENCER,true,5721,,2026-01-05T17:43:32.361Z,2026-01-22T15:28:05.480Z
47,a4,ACESSO CREDITO,INFLUENCER,true,5700,,2026-01-05T17:43:32.383Z,2026-01-22T15:28:13.020Z
48,r4,RICARDO REIS,INFLUENCER,true,5847,,2026-01-05T17:43:32.415Z,2026-01-22T15:28:21.708Z
49,i4,IZABEL,INFLUENCER,true,5999,,2026-01-05T17:43:32.476Z,2026-05-25T21:01:29.953Z
50,c2,CCA ARTEFATOS DE CIMENTO,INFLUENCER,true,6072,,2026-01-05T17:43:32.681Z,2026-01-22T15:28:50.489Z
51,j4,JP AZEVEDO,INFLUENCER,true,6028,,2026-01-05T17:43:33.100Z,2026-01-22T15:28:56.910Z
52,h1,HUDISON MIGUEL,INFLUENCER,true,6067,,2026-01-05T17:43:33.166Z,2026-01-22T15:29:05.370Z
53,i5,IDEIAS PARA NEGOCIOS,INFLUENCER,true,6508,,2026-01-05T17:43:33.190Z,2026-01-22T15:29:13.852Z
54,p1,PRIMO POBRE,INFLUENCER,true,856,,2026-01-05T17:43:33.211Z,2026-01-22T15:29:20.265Z
55,j5,JUNIOR ARRAIS,INFLUENCER,true,3670,,2026-01-05T17:43:33.231Z,2026-01-22T15:29:30.034Z
56,m1,ANUNCIO M1,TRAFEGO,true,6133,,2026-01-05T17:43:33.259Z,2026-04-14T12:37:45.585Z
57,ac1,ANUNCIO CLT 1,TRAFEGO,true,6142,,2026-01-05T17:43:33.290Z,2026-04-14T12:37:48.352Z
58,l7,LIPE BATISTA,INFLUENCER,true,5916,,2026-01-05T17:43:33.319Z,2026-01-22T15:30:38.760Z
59,l8,LUENSINA,INFLUENCER,true,6069,,2026-01-05T17:43:33.338Z,2026-01-22T15:30:45.275Z
60,g3,GERAÇÃO DIVIDENDOS,INFLUENCER,true,5612,,2026-01-05T17:43:33.365Z,2026-01-22T15:30:52.016Z
61,p2,POBRE SHOW,INFLUENCER,true,1114,,2026-01-05T17:43:33.390Z,2026-01-22T15:31:25.167Z
62,r6,RICARDO NATALI,INFLUENCER,true,5388,,2026-01-05T17:43:33.417Z,2026-01-22T15:31:39.746Z
63,t5,TN INVEST,INFLUENCER,true,4802,,2026-01-05T17:43:33.445Z,2026-01-22T15:31:42.731Z
64,r7,RIQUEZA,INFLUENCER,true,2779,,2026-01-05T17:43:33.482Z,2026-01-22T15:31:53.060Z
65,t4,TCAR,INFLUENCER,true,5417,,2026-01-05T17:43:33.511Z,2026-01-22T15:31:58.850Z
66,i8,INSTAGRAM,CANAL,true,1047,,2026-01-05T17:43:33.538Z,2026-01-22T15:32:18.542Z
67,t6,TECH WORLD,CANAL,true,6177,,2026-01-05T17:43:33.556Z,2026-01-22T15:32:19.559Z
68,t7,TIK TOK NHP,CANAL,true,1271,,2026-01-05T17:43:33.577Z,2026-01-22T15:32:30.289Z
69,y1,YOUTUBE,CANAL,true,6146,,2026-01-05T17:43:33.599Z,2026-01-22T15:32:42.143Z
70,s1,SMS,CANAL,true,1255,,2026-01-05T17:43:33.622Z,2026-01-22T15:32:49.164Z
71,s2,SITE,CANAL,true,1050,,2026-01-05T17:43:33.646Z,2026-01-22T15:32:58.266Z
72,n3,NERDS,INFLUENCER,true,853,,2026-01-05T17:43:33.669Z,2026-01-22T15:33:21.824Z
73,n4,NERDS,INFLUENCER,true,853,,2026-01-05T17:43:33.691Z,2026-01-22T15:33:34.992Z
74,m5,MINEIRINHO INVESTIDOR,INFLUENCER,true,6258,,2026-01-05T17:43:33.717Z,2026-01-22T15:33:36.034Z
75,h2,HENRIQUE HOVA,INFLUENCER,true,6256,,2026-01-05T17:43:33.738Z,2026-01-22T15:33:51.833Z
76,n5,NEURALIZANDO,INFLUENCER,true,886,,2026-01-05T17:43:33.765Z,2026-01-22T15:34:00.507Z
77,g4,GLEICKA OLIVEIRA,INFLUENCER,true,6205,,2026-01-05T17:43:33.788Z,2026-01-22T15:34:08.521Z
78,i9,IAe Milionário,INFLUENCER,true,6188,,2026-01-05T17:43:33.813Z,2026-01-22T15:34:17.716Z
79,p3,DUDA FELDBERG,INFLUENCER,true,6337,,2026-01-05T17:43:33.837Z,2026-01-22T15:34:26.595Z
80,s3,ISAIAS SILVA,INFLUENCER,true,6352,,2026-01-05T17:43:33.860Z,2026-01-22T15:34:35.816Z
81,p4,PITER,INFLUENCER,true,6370,,2026-01-05T17:43:33.882Z,2026-01-22T15:35:28.596Z
82,f2,FACEBOOK NHP,CANAL,true,1048,,2026-01-05T17:43:33.906Z,2026-01-22T15:35:35.212Z
83,j6,JOVENS,INFLUENCER,true,6393,,2026-01-05T17:43:33.928Z,2026-01-22T15:35:48.075Z
84,a5,APOSENTADO,PUBLICO,true,3652,,2026-01-05T17:43:33.955Z,2026-01-22T15:35:56.394Z
85,g5,GILSON MORAES,INFLUENCER,true,5251,,2026-01-05T17:43:33.981Z,2026-01-22T15:35:58.457Z
86,r8,RENATA ROMANO,INFLUENCER,true,6264,,2026-01-05T17:43:34.007Z,2026-01-22T15:36:34.266Z
87,p5,PAMMELA,INFLUENCER,true,5952,,2026-01-05T17:43:34.035Z,2026-01-22T15:36:45.796Z
88,e4,EVERTON,INFLUENCER,true,902,,2026-01-05T17:43:34.058Z,2026-01-22T15:38:29.130Z
89,p6,PETER JORDAN,INFLUENCER,true,1438,,2026-01-05T17:43:34.079Z,2026-01-22T15:38:39.370Z
90,m6,O MILIONARIO,INFLUENCER,true,1199,,2026-01-05T17:43:34.101Z,2026-01-22T15:38:45.865Z
91,s4,SAVIO AUGUSTO,INFLUENCER,true,895,,2026-01-05T17:43:34.126Z,2026-01-22T15:38:52.688Z
92,w4,WESLEY INVESTIDOR,INFLUENCER,true,,,2026-01-05T17:43:34.146Z,2026-01-05T17:43:47.960Z
93,s5,SUPORTE,CANAL,true,6554,,2026-01-05T17:43:34.168Z,2026-01-22T15:39:43.816Z
94,c3,Casal Mineiro,INFLUENCER,true,4881,,2026-01-05T17:43:34.187Z,2026-01-22T15:39:57.114Z
95,b4,BRENNO WILLEM,INFLUENCER,true,3135,,2026-01-05T17:43:34.209Z,2026-01-22T15:40:26.238Z
